wave_nm	int
500	260
500.6350708	311
501.2701416	299
501.9052124	299
502.5403137	288
503.1753845	300
503.8104553	290
504.4455261	310
505.0805969	291
505.7156677	304
506.350769	309
506.9858398	337
507.6209106	285
508.2559814	279
508.8910522	276
509.526123	290
510.1612244	242
510.7962952	258
511.431366	270
512.0664673	277
512.7015381	293
513.3366089	280
513.9716797	277
514.6067505	285
515.2418213	287
515.8768921	278
516.5119629	293
517.1470337	275
517.7821045	290
518.4171753	278
519.0522461	276
519.6873169	323
520.3224487	247
520.9575195	276
521.5925903	280
522.2276611	277
522.8627319	278
523.4978027	242
524.1328735	269
524.7679443	277
525.4030151	251
526.0380859	240
526.6731567	264
527.3082275	274
527.9433594	266
528.5784302	254
529.213501	265
529.8485718	292
530.4836426	252
531.1187134	261
531.7537842	233
532.388855	274
533.0239258	241
533.6589966	260
534.2940674	247
534.9291382	306
535.56427	228
536.1993408	263
536.8344116	265
537.4694824	267
538.1045532	253
538.739624	276
539.3746948	314
540.0097656	283
540.6448364	238
541.2799072	266
541.914978	272
542.5500488	253
543.1851196	211
543.8202515	229
544.4553223	252
545.0903931	249
545.7254639	234
546.3605347	251
546.9956055	291
547.6306763	284
548.2657471	242
548.9008179	305
549.5358887	271
550.1709595	310
550.8060303	252
551.4411621	268
552.0762329	262
552.7113037	250
553.3463745	232
553.9814453	252
554.6165161	249
555.2515869	241
555.8866577	252
556.5217285	260
557.1567993	248
557.7918701	251
558.4269409	274
559.0620117	232
559.6971436	265
560.3322144	265
560.9672852	238
561.602356	256
562.2374268	273
562.8724976	242
563.5075684	251
564.1426392	268
564.77771	268
565.4127808	255
566.0478516	285
566.6829224	283
567.3180542	272
567.953125	268
568.5881958	254
569.2232666	263
569.8583374	247
570.4934082	276
571.128479	261
571.7635498	244
572.3986206	279
573.0336914	282
573.6687622	228
574.303833	286
574.9389648	265
575.5740356	230
576.2091064	236
576.8441772	244
577.479248	237
578.1143188	242
578.7493896	225
579.3844604	273
580.0195312	241
580.6546021	230
581.2896729	261
581.9247437	263
582.5598145	234
583.1949463	210
583.8300171	260
584.4650879	271
585.1001587	254
585.7352295	220
586.3703003	240
587.0053711	216
587.6404419	215
588.2755127	280
588.9105835	253
589.5456543	232
590.1807251	245
590.8158569	315
591.4509277	221
592.0859985	278
592.7210693	208
593.3561401	239
593.9912109	247
594.6262817	262
595.2613525	225
595.8964233	269
596.5314941	259
597.1665649	227
597.8016357	245
598.4367065	230
599.0718384	266
599.7069092	242
600.34198	230
600.9770508	239
601.6121216	221
602.2471924	249
602.8822632	232
603.517334	229
604.1524048	214
604.7874756	238
605.4225464	190
606.0576172	240
606.692749	218
607.3278198	292
607.9628906	253
608.5979614	261
609.2330322	244
609.868103	293
610.5031738	256
611.1382446	258
611.7733154	227
612.4083862	260
613.043457	262
613.6785278	225
614.3136597	237
614.9487305	267
615.5838013	264
616.2188721	236
616.8539429	247
617.4890137	234
618.1240845	274
618.7591553	248
619.3942261	240
620.0292969	215
620.6643677	257
621.2994385	241
621.9345093	232
622.5696411	248
623.2047119	278
623.8397827	254
624.4748535	274
625.1099243	257
625.7449951	268
626.3800659	245
627.0151367	264
627.6502075	248
628.2852783	242
628.9203491	229
629.5554199	254
630.1905518	216
630.8256226	229
631.4606934	257
632.0957642	235
632.730835	233
633.3659058	256
634.0009766	254
634.6360474	246
635.2711182	239
635.906189	278
636.5412598	204
637.1763306	233
637.8114014	225
638.4465332	263
639.081604	232
639.7166748	220
640.3517456	222
640.9868164	238
641.6218872	231
642.256958	252
642.8920288	213
643.5270996	236
644.1621704	213
644.7972412	243
645.432312	253
646.0674438	230
646.7025146	265
647.3375854	223
647.9726562	210
648.6077271	195
649.2427979	264
649.8778687	263
650.5129395	198
651.1480103	224
651.7830811	250
652.4181519	205
653.0532227	226
653.6883545	196
654.3234253	205
654.9584961	225
655.5935669	203
656.2286377	184
656.8637085	216
657.4987793	223
658.1338501	227
658.7689209	246
659.4039917	236
660.0390625	237
660.6741333	254
661.3092041	214
661.9443359	200
662.5794067	216
663.2144775	178
663.8495483	241
664.4846191	204
665.1196899	213
665.7547607	249
666.3898315	241
667.0249023	234
667.6599731	244
668.2950439	227
668.9301147	219
669.5652466	243
670.2003174	217
670.8353882	221
671.470459	219
672.1055298	250
672.7406006	206
673.3756714	215
674.0107422	214
674.645813	239
675.2808838	220
675.9159546	208
676.5510254	270
677.1860962	257
677.821228	247
678.4562988	253
679.0913696	260
679.7264404	249
680.3615112	210
680.996582	246
681.6316528	211
682.2667236	256
682.9017944	247
683.5368652	248
684.171936	200
684.8070068	231
685.4421387	256
686.0772095	234
686.7122803	229
687.3473511	260
687.9824219	287
688.6174927	268
689.2525635	252
689.8876343	246
690.5227051	288
691.1577759	255
691.7928467	237
692.4279175	241
693.0630493	257
693.6981201	265
694.3331909	239
694.9682617	234
695.6033325	263
696.2384033	274
696.8734741	263
697.5085449	255
698.1436157	213
698.7786865	227
699.4137573	224
700.0488281	250
700.6838989	251
701.3190308	211
701.9541016	255
702.5891724	241
703.2242432	212
703.859314	247
704.4943848	278
705.1294556	239
705.7645264	206
706.3995972	209
707.034668	219
707.6697388	244
708.3048096	219
708.9399414	245
709.5750122	226
710.210083	235
710.8451538	232
711.4802246	230
712.1152954	242
712.7503662	252
713.385437	222
714.0205078	220
714.6555786	180
715.2906494	217
715.9257202	269
716.560791	192
717.1959229	205
717.8309937	245
718.4660645	218
719.1011353	238
719.7362061	237
720.3712769	247
721.0063477	250
721.6414185	260
722.2764893	245
722.9115601	198
723.5466309	235
724.1817017	241
724.8168335	212
725.4519043	206
726.0869751	205
726.7220459	235
727.3571167	235
727.9921875	252
728.6272583	232
729.2623291	234
729.8973999	223
730.5324707	235
731.1675415	268
731.8026123	249
732.4377441	256
733.0728149	274
733.7078857	227
734.3429565	197
734.9780273	243
735.6130981	217
736.2481689	237
736.8832397	206
737.5183105	262
738.1533813	231
738.7884521	255
739.4235229	266
740.0585938	241
740.6937256	228
741.3287964	267
741.9638672	247
742.598938	240
743.2340088	239
743.8690796	244
744.5041504	263
745.1392212	242
745.774292	268
746.4093628	251
747.0444336	241
747.6795044	242
748.3146362	240
748.949707	252
749.5847778	234
750.2198486	230
750.8549194	232
751.4899902	248
752.125061	360
752.7601318	285
753.3952026	261
754.0302734	216
754.6653442	201
755.300415	252
755.9354858	266
756.5706177	318
757.2056885	260
757.8407593	246
758.4758301	269
759.1109009	280
759.7459717	373
760.3810425	473
761.0161133	309
761.6511841	290
762.2862549	217
762.9213257	283
763.5563965	287
764.1915283	290
764.8265991	364
765.4616699	382
766.0967407	415
766.7318115	351
767.3668823	425
768.0019531	444
768.6370239	513
769.2720947	375
769.9071655	287
770.5422363	295
771.1773071	264
771.8123779	230
772.4475098	206
773.0825806	291
773.7176514	327
774.3527222	272
774.987793	244
775.6228638	281
776.2579346	290
776.8930054	494
777.5280762	784
778.163147	468
778.7982178	282
779.4332886	272
780.0684204	245
780.7034912	257
781.338562	241
781.9736328	269
782.6087036	229
783.2437744	279
783.8788452	254
784.513916	235
785.1489868	219
785.7840576	274
786.4191284	235
787.0541992	248
787.6893311	227
788.3244019	294
788.9594727	316
789.5945435	675
790.2296143	605
790.8646851	395
791.4997559	293
792.1348267	212
792.7698975	246
793.4049683	258
794.0400391	279
794.6751099	255
795.3101807	249
795.9453125	261
796.5803833	301
797.2154541	255
797.8505249	219
798.4855957	251
799.1206665	259
799.7557373	258
800.3908081	243
801.0258789	227
801.6609497	235
802.2960205	263
802.9310913	248
803.5662231	251
804.2012939	218
804.8363647	255
805.4714355	287
806.1065063	220
806.7415771	227
807.3766479	269
808.0117188	271
808.6467896	250
809.2818604	260
809.9169312	231
810.552002	226
811.1870728	234
811.8222046	221
812.4572754	216
813.0923462	254
813.727417	193
814.3624878	248
814.9975586	230
815.6326294	232
816.2677002	220
816.902771	242
817.5378418	244
818.1729126	208
818.8079834	205
819.4431152	260
820.078186	209
820.7132568	213
821.3483276	212
821.9833984	234
822.6184692	213
823.25354	214
823.8886108	206
824.5236816	236
825.1587524	241
825.7938232	218
826.428894	249
827.0640259	228
827.6990967	220
828.3341675	226
828.9692383	253
829.6043091	230
830.2393799	217
830.8744507	236
831.5095215	229
832.1445923	266
832.7796631	213
833.4147339	218
834.0498047	265
834.6848755	199
835.3200073	209
835.9550781	231
836.5901489	245
837.2252197	194
837.8602905	206
838.4953613	215
839.1304321	219
839.7655029	227
840.4005737	240
841.0356445	229
841.6707153	214
842.3057861	210
842.940918	238
843.5759888	241
844.2110596	219
844.8461304	228
845.4812012	204
846.116272	233
846.7513428	239
847.3864136	218
848.0214844	208
848.6565552	293
849.291626	327
849.9266968	250
850.5617676	209
851.1968994	245
851.8319702	210
852.467041	203
853.1021118	224
853.7371826	247
854.3722534	223
855.0073242	244
855.642395	191
856.2774658	204
856.9125366	234
857.5476074	218
858.1826782	205
858.8178101	183
859.4528809	184
860.0879517	221
860.7230225	248
861.3580933	231
861.9931641	239
862.6282349	216
863.2633057	234
863.8983765	236
864.5334473	274
865.1685181	358
865.8035889	277
866.4387207	260
867.0737915	236
867.7088623	188
868.3439331	232
868.9790039	211
869.6140747	268
870.2491455	236
870.8842163	248
871.5192871	216
872.1543579	223
872.7894287	221
873.4244995	233
874.0595703	229
874.6947021	213
875.3297729	238
875.9648438	227
876.5999146	254
877.2349854	218
877.8700562	239
878.505127	237
879.1401978	227
879.7752686	244
880.4103394	236
881.0454102	246
881.680481	234
882.3156128	199
882.9506836	249
883.5857544	289
884.2208252	328
884.855896	273
885.4909668	282
886.1260376	255
886.7611084	290
887.3961792	345
888.03125	435
888.6663208	396
889.3013916	455
889.9364624	385
890.5715942	454
891.206665	346
891.8417358	269
892.4768066	263
893.1118774	227
893.7469482	281
894.382019	253
895.0170898	247
895.6521606	234
896.2872314	274
896.9223022	266
897.557373	239
898.1925049	234
898.8275757	268
899.4626465	277
900.0977173	409
900.7327881	546
901.3678589	336
902.0029297	253
902.6380005	303
903.2730713	262
903.9081421	257
904.5432129	244
905.1782837	230
905.8134155	227
906.4484863	213
907.0835571	263
907.7186279	273
908.3536987	213
908.9887695	219
909.6238403	255
910.2589111	239
910.8939819	247
911.5290527	246
912.1641235	366
912.7991943	550
913.4342651	402
914.069397	307
914.7044678	325
915.3395386	264
915.9746094	269
916.6096802	212
917.244751	211
917.8798218	231
918.5148926	256
919.1499634	226
919.7850342	209
920.420105	247
921.0551758	223
921.6903076	241
922.3253784	233
922.9604492	191
923.59552	239
924.2305908	227
924.8656616	227
925.5007324	223
926.1358032	223
926.770874	219
927.4059448	226
928.0410156	222
928.6760864	214
929.3111572	215
929.9462891	230
930.5813599	248
931.2164307	180
931.8515015	208
932.4865723	207
933.1216431	248
933.7567139	176
934.3917847	272
935.0268555	213
935.6619263	190
936.2969971	224
936.9320679	205
937.5671997	228
938.2022705	246
938.8373413	229
939.4724121	248
940.1074829	182
940.7425537	249
941.3776245	184
942.0126953	250
942.6477661	229
943.2828369	221
943.9179077	243
944.5529785	228
945.1881104	221
945.8231812	218
946.458252	235
947.0933228	234
947.7283936	265
948.3634644	239
948.9985352	225
949.633606	242
950.2686768	212
950.9037476	191
951.5388184	223
952.1738892	215
952.80896	213
953.4440918	208
954.0791626	202
954.7142334	247
955.3493042	259
955.984375	235
956.6194458	241
957.2545166	208
957.8895874	194
958.5246582	223
959.159729	214
959.7947998	222
960.4298706	200
961.0650024	224
961.7000732	219
962.335144	224
962.9702148	245
963.6052856	225
964.2403564	236
964.8754272	251
965.510498	264
966.1455688	219
966.7806396	231
967.4157104	220
968.0507812	191
968.6858521	205
969.3209839	219
969.9560547	214
970.5911255	189
971.2261963	231
971.8612671	198
972.4963379	255
973.1314087	280
973.7664795	219
974.4015503	239
975.0366211	277
975.6716919	230
976.3067627	212
976.9418945	266
977.5769653	238
978.2120361	199
978.8471069	232
979.4821777	232
980.1172485	264
980.7523193	232
981.3873901	251
982.0224609	244
982.6575317	200
983.2926025	224
983.9276733	220
984.5628052	214
985.197876	216
985.8329468	209
986.4680176	176
987.1030884	216
987.7381592	244
988.37323	248
989.0083008	243
989.6433716	240
990.2784424	228
990.9135132	209
991.548584	197
992.1836548	235
992.8187866	236
993.4538574	244
994.0889282	223
994.723999	223
995.3590698	235
